SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Ann,Annie,200802211145,200802211200,0.1,21.27
US-Ann,Annie,200802211145,200802211200,1,21.21
