SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Ann,Annie,201207191315,201207191330,0.1,35.58
US-Ann,Annie,201207191315,201207191330,1,35.94
