SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Ann,Annie,200912312345,201001010000,0.1,18.69
US-Ann,Annie,200912312345,201001010000,1,18.65
